Bauwerk,Bauwerkbezeichnung,Ebene,Raumnr,Nutzungsartbez.,Nutzername,Kostentraeger,GueltigVon,GueltigBis
151.02,Luftpostleitstelle,G6,411,BÜRORAUM,F-ITEV,F-ITEV,01/04/05,31/12/99
151.02,Luftpostleitstelle,G6,413,BÜRORAUM,F-ITES,F-ITES,01/04/05,31/12/99
151.02,Luftpostleitstelle,G6,335,TOILETTE,F-RE,F-RE,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,337,PUTZRAUM,F-RELR,F-RELR,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,339,VORRAUM ZU SANITÄRRAUM,F-RE,F-RE,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,341,TOILETTE,F-RE,F-RE,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,402,BÜRORAUM,F-ITEV,F-ITEV,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,406,BÜRORAUM,F-ITEV,F-ITEV,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,431,TEEKÜCHE,F-ITES,F-ITES,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,307,BÜRORAUM,F-ITEG,F-ITEG,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,309,BÜRORAUM,F-ITEG,F-ITEG,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,312,BÜRORAUM,F-ITEG,F-ITEG,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,433,VORRAUM ZU SANITÄRRAUM,F-RE,F-RE,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,435,TOILETTE,F-RE,F-RE,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,437,PUTZRAUM,SASSE,F-RELR,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,439,VORRAUM ZU SANITÄRRAUM,F-RE,F-RE,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,441,TOILETTE,F-RE,F-RE,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,710,FLUR,F-IT,F-IT,17/05/92,31/12/99
151.02,Luftpostleitstelle,G6,720,FLUR,F-PT-K,F-PT-K,17/05/92,31/12/99
